loan_amnt,int_rate,annual_inc,dti,revol_util,total_acc,open_acc,inq_last_6mths,actual,risk_score
35000,14.47,88000.0,26.77,40.7,22,15,0,0,0.20285578849045136
15000,6.46,52000.0,12.02,60.6,19,9,0,0,0.3735160087414277
5000,16.14,89221.0,15.75,63.5,29,8,1,0,0.7274468919352414
10000,13.56,62000.0,14.53,48.3,9,6,0,0,0.5340783363278551
15000,6.46,60000.0,10.18,43.5,18,8,0,0,0.45079520963652914
4800,8.19,65000.0,20.66,44.3,30,15,0,0,0.3055508407174838
8375,14.47,12000.0,32.3,58.8,11,5,1,0,0.5584477949591528
23000,7.21,125000.0,12.38,18.0,22,12,1,0,0.5092639621721383
40000,11.55,95000.0,12.71,37.1,61,14,1,0,0.5721900234953176
40000,6.46,109400.0,24.39,39.3,49,15,0,0,0.31190547065578617
40000,17.97,57000.0,16.53,58.2,9,5,0,0,0.4267743960471372
7500,12.98,30000.0,19.72,68.0,11,9,0,0,0.34359234120837295
28975,11.8,157000.0,15.44,10.6,26,7,2,0,0.8289273765365451
8000,8.81,120000.0,13.42,41.8,20,16,1,0,0.3725846409146559
15000,20.89,48000.0,19.03,55.3,22,6,0,0,0.6122507871335504
1600,26.31,27000.0,13.2,101.5,11,4,0,0,0.6302586414484225
10000,10.47,160000.0,6.12,15.2,12,10,0,0,0.5927163193887304
25000,7.84,85000.0,22.74,59.3,24,9,0,0,0.39285302151824064
5000,15.02,30000.0,26.2,93.0,8,8,1,0,0.4209469500389903
10350,27.27,55000.0,27.34,23.6,61,18,1,0,0.6084595564767619
30000,10.33,94450.0,5.42,16.3,11,5,0,0,0.5872751226021781
40000,8.19,290000.0,2.12,47.6,12,5,0,0,0.7533906264136517
8000,13.56,55000.0,17.17,39.0,16,12,1,0,0.43957622905819266
15000,7.84,113000.0,25.76,42.9,35,19,1,0,0.281857825006748
15000,11.31,70000.0,32.9,59.2,22,17,0,0,0.15667706941381995
30000,12.98,34560.0,2.33,1.4,32,19,2,0,0.3200684543455113
20000,15.02,77580.0,25.69,57.3,37,9,0,0,0.5505388976908496
8000,7.84,54000.0,10.96,12.1,27,16,2,0,0.46117998978383584
25000,7.84,60000.0,10.06,21.1,29,16,0,0,0.23066184906023432
20000,8.19,226514.0,11.33,56.7,19,10,0,0,0.5903579115121814
3000,23.4,21276.0,32.94,85.3,31,6,1,0,0.7112073975895007
10000,8.19,82000.0,16.83,76.4,20,7,0,0,0.5056786243703376
30000,12.98,112320.0,8.53,74.1,6,5,0,0,0.4940318737528047
11000,27.27,35000.0,29.29,50.0,26,10,1,0,0.6038910873450692
40000,12.98,110000.0,11.83,16.8,14,10,0,0,0.38278156133762437
21925,13.56,84593.0,11.96,0.1,15,6,1,0,0.7161523328598466
2000,20.89,16000.0,7.58,27.7,8,7,0,0,0.5672624378580678
20000,7.84,118000.0,9.53,47.2,18,8,0,0,0.5193157876015992
10000,6.67,75000.0,13.65,8.3,62,20,1,0,0.46580838970768645
20000,6.46,100000.0,24.08,22.6,38,13,1,0,0.516269594726071
14000,22.35,85000.0,20.97,57.7,17,8,0,0,0.560162947610924
5000,7.02,63000.0,5.24,12.7,19,7,0,0,0.6217218333278136
15000,11.8,65000.0,20.81,3.7,27,13,0,0,0.40178586080378453
24000,10.72,76500.0,18.51,59.7,15,10,0,0,0.3194914345726556
10000,13.56,25000.0,19.01,52.1,7,4,0,0,0.5278625494120994
2000,23.4,76000.0,17.69,19.5,47,17,0,0,0.5345767048400568
40000,8.81,260000.0,15.84,80.2,29,10,0,0,0.5637330694295277
11000,8.81,70000.0,17.56,97.5,8,5,0,0,0.4461091437240665
10000,6.46,68000.0,17.19,49.7,16,10,1,0,0.45661425655975196
12000,10.33,45542.0,25.64,41.3,21,8,0,0,0.46077758141039465
9650,16.91,65000.0,11.8,53.4,16,12,0,0,0.3717072799114549
6500,15.02,28000.0,31.55,41.8,11,5,0,0,0.5353070811272942
6000,7.56,110000.0,13.57,24.5,14,6,0,0,0.6538839412983684
30000,8.19,38000.0,32.75,34.9,24,12,1,0,0.2954547018536478
1500,16.91,27000.0,22.67,56.3,13,9,0,0,0.4228264852421311
7000,8.81,81000.0,20.59,52.9,20,11,1,0,0.48362560935887394
6000,16.91,67600.0,12.57,91.3,14,7,0,0,0.5156464692545163
7500,11.8,40000.0,15.36,0.0,23,9,0,0,0.5564546536793644
10000,26.31,115000.0,21.4,54.0,38,21,0,0,0.2925899038829413
3000,14.47,70000.0,24.93,92.5,45,14,1,0,0.5083817650159481
24925,22.35,100000.0,35.55,47.2,48,26,0,0,0.11531139786920179
15000,16.14,67000.0,12.74,6.6,26,9,1,0,0.6922864868653583
8000,10.08,108000.0,14.06,25.5,31,11,1,0,0.6647670362064257
8800,22.35,52000.0,19.76,50.3,15,11,0,0,0.41618559960596446
21000,7.84,64400.0,37.27,47.6,17,11,0,0,0.2549092657532339
8000,16.14,30000.0,6.16,12.4,31,4,1,0,0.848035111595216
9000,8.81,35000.0,7.75,20.0,15,8,2,0,0.665584618852461
10000,19.92,100000.0,35.84,39.2,15,12,1,0,0.4930040690951229
8500,8.19,31350.0,31.7,57.9,12,8,0,0,0.33849609947078513
13000,8.19,48000.0,15.03,,23,2,0,0,0.7131532537780897
7000,19.92,50000.0,21.7,20.2,13,10,0,0,0.4757755286967941
35000,7.84,150000.0,12.48,30.7,45,16,1,0,0.4683471433781066
1200,11.06,55000.0,14.97,0.3,18,6,1,0,0.7588205187700007
3500,13.56,52675.0,38.96,43.3,26,13,0,0,0.33996634916921836
9500,6.46,45000.0,7.47,30.5,15,10,1,0,0.4743355417347842
5000,10.72,54000.0,31.8,36.2,20,11,0,0,0.3780836207132923
16875,19.92,240000.0,21.49,61.8,30,17,1,0,0.5693451882835118
5000,13.56,32000.0,9.38,52.7,10,6,0,0,0.5267748903275948
4000,10.72,25000.0,26.31,12.7,34,14,3,0,0.6410568721094683
17000,18.94,39000.0,47.02,36.5,22,20,0,0,0.1041668403081326
8000,14.47,65000.0,12.04,92.3,6,6,1,0,0.5581987355938246
12000,6.11,70000.0,13.18,21.4,14,6,0,0,0.5619322721734707
11000,27.27,63000.0,30.45,58.6,41,30,0,0,0.06276804978444828
8200,11.55,85000.0,4.42,47.2,5,5,0,0,0.6010161834466605
21000,10.72,60000.0,18.86,78.8,11,6,0,0,0.4045767368715082
20000,8.81,112772.0,35.51,75.7,49,14,0,0,0.381653831202226
24000,10.08,86000.0,6.27,0.6,19,7,1,0,0.686853308097378
10000,12.73,60000.0,5.4,34.4,13,7,0,0,0.558515993623524
12000,16.14,120000.0,6.13,41.3,23,8,0,0,0.6753828532098984
5000,6.46,30000.0,22.08,25.9,15,7,0,0,0.4761338091896009
25000,8.81,90000.0,34.28,40.8,38,23,0,0,0.09424145768785855
10000,13.56,48000.0,11.93,51.9,11,9,0,0,0.4055723055582623
10000,13.56,48000.0,25.63,41.8,28,19,2,0,0.29575251622502696
15000,7.84,95000.0,14.7,27.6,25,20,0,0,0.16140991195105878
5500,7.56,26000.0,4.2,14.8,8,7,0,0,0.4903712217136874
2000,7.02,25000.0,30.72,16.5,16,6,0,0,0.53071136749166
20000,13.56,100000.0,21.54,54.5,17,9,0,0,0.44635112105924485
10000,13.56,32000.0,19.32,58.4,12,5,0,0,0.521549617642958
15000,11.55,56000.0,9.94,33.9,10,7,0,0,0.4857611659091353
6000,8.81,140000.0,29.1,91.0,28,15,0,0,0.30336606904163355
12000,7.56,60000.0,12.38,32.5,27,14,0,0,0.31510162565420613
21300,19.92,76000.0,14.62,30.4,47,13,0,0,0.5609542312941591
7900,19.92,31600.0,29.55,36.0,16,14,2,0,0.4390983961679788
12000,19.92,65000.0,20.14,62.1,33,24,0,0,0.10843423445108807
14000,17.97,49250.0,21.05,72.9,11,8,0,0,0.40389009667525294
35000,10.72,140000.0,7.03,7.1,25,13,0,0,0.4186980634702651
36000,6.46,72000.0,32.09,24.1,21,11,0,0,0.25896992940069985
30000,12.98,78000.0,30.34,45.0,17,15,0,0,0.1705963845808884
21600,8.19,84200.0,28.93,46.4,37,24,0,0,0.08130602011110413
10000,11.8,86251.0,6.07,28.3,8,6,1,0,0.6883495275174617
15000,16.14,45000.0,27.28,40.8,13,7,0,0,0.4710815498741959
16000,14.47,32813.0,23.99,26.1,22,17,0,0,0.18033715670674885
23000,10.72,65000.0,10.51,42.9,19,11,1,0,0.4280557264026519
5500,11.06,82000.0,21.97,26.4,36,18,1,0,0.38144091139574354
6500,10.33,85000.0,19.46,63.5,39,8,0,0,0.6499939616720564
40000,11.8,100000.0,11.4,68.7,19,6,0,0,0.4681909437197517
5000,14.47,77000.0,12.06,54.1,18,13,0,0,0.36636065124687756
10000,7.21,75000.0,10.3,57.5,11,8,0,0,0.4314111620466074
4000,12.73,55000.0,4.76,67.3,7,5,0,0,0.5663386963220486
10000,14.47,95000.0,23.55,80.9,17,10,1,0,0.4984692830362578
21000,7.02,185000.0,1.12,22.3,20,6,2,0,0.8604697118075346
10000,15.02,64000.0,24.43,71.6,15,15,1,0,0.2689354260076774
27000,10.47,53000.0,44.52,54.7,22,10,0,0,0.2694388042083719
40000,12.73,200000.0,18.87,37.9,34,18,2,0,0.46106456026427034
22000,8.46,250000.0,2.67,86.0,14,5,0,0,0.7390182832059674
22000,12.98,26000.0,22.07,19.4,26,14,0,0,0.25837738011541933
30000,8.19,115000.0,17.47,81.0,17,8,1,0,0.47385620697026987
30000,19.92,159000.0,38.98,81.7,36,21,0,0,0.16091643007544734
15000,8.19,100000.0,8.41,43.7,5,3,0,0,0.6380872168340634
10500,25.34,40000.0,29.97,97.6,15,15,0,0,0.19236078874443266
9000,6.46,44000.0,19.12,88.1,8,8,1,0,0.3820245806686701
20000,14.47,78000.0,20.97,83.0,17,12,1,0,0.3471714536831394
20000,7.84,100000.0,9.74,80.1,29,12,0,0,0.35383123997554017
10000,6.46,72000.0,18.74,62.6,27,16,0,0,0.21499455266501585
6475,16.14,18000.0,22.4,32.4,30,10,0,0,0.49842654679053855
15000,8.81,55000.0,18.52,16.1,22,13,0,0,0.31925964587999905
25500,12.98,37632.0,20.03,36.8,9,6,0,0,0.4193707116123652
20000,8.46,85000.0,16.05,37.3,15,7,1,0,0.5858986893063366
12000,10.47,40000.0,26.85,37.9,21,8,0,0,0.4562444536595291
5000,15.02,42000.0,31.66,28.6,42,22,2,0,0.3058700220088776
12000,8.19,150000.0,18.1,56.3,23,15,0,0,0.33013230462902754
17000,27.27,86182.0,33.88,84.3,18,14,0,0,0.2838140625628447
20000,7.21,180000.0,32.25,74.6,53,31,2,0,0.11725136809667484
10000,8.19,550000.0,6.49,50.5,13,8,0,0,0.9419507483258545
14450,16.14,38200.0,36.0,48.6,40,14,1,0,0.4264081784732883
5000,10.47,53040.0,22.35,61.1,24,14,0,0,0.2759574807501753
10000,11.8,75000.0,17.79,36.3,17,13,0,0,0.32924382196034596
3000,16.91,81433.0,10.09,3.6,20,10,0,0,0.625137357151684
17975,19.92,72800.0,6.13,73.2,25,4,0,0,0.7185579769582953
14000,14.47,40800.0,35.91,28.6,26,18,2,0,0.2949910650262481
26100,13.56,180000.0,22.54,48.4,33,24,0,0,0.13843179038321274
1200,12.98,40000.0,15.6,72.6,30,19,0,0,0.1755582500983289
7500,8.46,60000.0,13.12,18.8,42,21,1,0,0.28486175123206375
35000,10.72,35065.0,6.02,21.8,22,8,1,0,0.5122017222531677
18000,8.19,105000.0,18.97,17.3,37,13,0,0,0.4700695699692821
7000,10.33,58000.0,14.67,0.3,29,11,1,0,0.6267042044403742
21000,20.89,67000.0,21.19,37.7,29,18,1,0,0.2990388169645032
20000,8.81,40000.0,4.47,38.5,16,4,0,0,0.5850357901107056
30000,17.97,165000.0,20.83,43.8,37,21,1,0,0.3024960775949008
5000,13.56,65000.0,20.53,77.6,14,6,0,0,0.5347207797510772
2000,12.73,62000.0,7.39,93.0,7,4,1,0,0.6643698877705155
16000,7.84,60000.0,23.76,81.9,19,8,0,0,0.3669110539292141
27000,13.56,98000.0,5.47,26.8,23,13,0,0,0.3762621429227884
25000,8.19,137000.0,9.18,33.7,10,8,1,0,0.5840549571763255
10500,27.27,60000.0,25.5,26.2,19,7,0,0,0.6698501539664964
10000,10.72,55000.0,16.5,35.5,14,9,1,0,0.5230977388743342
13000,7.56,50000.0,14.26,54.5,10,5,0,0,0.49140236219889727
3000,24.37,57000.0,30.92,15.0,46,25,3,0,0.425576430444143
36000,10.72,55000.0,21.99,18.9,13,7,0,0,0.3883198059471649
25200,18.94,120000.0,16.35,36.5,29,18,2,0,0.4378239809935441
12800,11.8,75000.0,22.34,34.0,50,25,1,0,0.18872966678210348
25000,12.98,49000.0,33.31,43.6,22,15,0,0,0.17755182473792053
21600,13.56,24000.0,26.2,15.7,18,10,0,0,0.34798169091984016
20000,6.46,72000.0,7.32,37.9,16,7,0,0,0.48676302795131765
7000,7.84,97000.0,12.94,43.8,10,7,0,0,0.5353949394152031
6000,11.8,60000.0,16.78,70.7,64,9,0,0,0.7406470458847555
7000,16.91,52000.0,15.58,44.3,15,8,0,0,0.5255878913138052
16000,15.02,28000.0,30.82,25.8,11,10,0,0,0.3191924518285653
28000,24.37,52000.0,28.29,49.8,33,25,3,0,0.1937864146861833
4800,13.56,66000.0,32.87,64.6,23,21,0,0,0.10993283821758255
14000,11.8,94000.0,15.55,24.4,19,14,0,0,0.3359367103479624
8400,17.97,48000.0,4.0,83.5,5,4,0,0,0.5752422941787984
20000,17.97,140000.0,15.45,62.2,30,14,0,0,0.4318013149141887
10000,7.02,85000.0,18.51,26.8,19,12,0,0,0.37219274223962073
1600,10.08,45000.0,34.45,8.2,22,12,0,0,0.39049377135047664
13000,10.08,75000.0,16.98,26.3,30,14,0,0,0.3670633392864429
20000,6.46,250000.0,2.07,27.9,20,7,0,0,0.779842020305614
7300,7.02,42000.0,19.4,41.9,12,8,0,0,0.4051605281070997
7200,10.47,75000.0,12.53,31.0,10,7,0,0,0.5445023770417752
12000,12.98,52000.0,22.59,55.0,10,8,0,0,0.39879176736109334
9000,6.46,53800.0,30.78,48.5,34,16,2,0,0.3845449593474924
2000,19.92,118000.0,25.34,72.0,56,11,2,0,0.8617272176764467
4500,7.02,95000.0,7.24,19.4,18,11,0,0,0.48773197219395265
6000,17.97,46000.0,27.94,81.8,26,9,0,0,0.47205127674547886
20000,8.19,80000.0,28.15,34.4,37,18,0,0,0.2070240753360871
6000,19.92,56000.0,18.41,85.5,20,8,1,0,0.6094069590517729
15000,12.98,60000.0,26.82,25.1,23,15,0,0,0.26110531486436794
10000,15.02,45000.0,2.21,45.5,7,3,1,0,0.736583912950899
10425,22.35,44000.0,18.85,61.6,19,7,0,0,0.5699725286771704
35000,10.33,160000.0,9.59,0.0,16,8,0,0,0.5909870765200467
16000,13.56,89000.0,27.63,47.3,28,11,0,0,0.44342453652832114
7000,11.8,100000.0,26.94,29.0,30,22,1,0,0.2181257440155492
5000,19.92,81400.0,15.57,32.0,20,13,0,0,0.45595408357203054
30000,19.92,185000.0,20.2,34.6,49,22,0,0,0.31523500326770304
15000,16.91,95000.0,3.94,50.3,28,11,3,0,0.779876696968999
3500,7.02,96000.0,10.37,8.0,45,20,0,0,0.33536825492049566
10000,7.56,40000.0,14.67,27.2,12,6,0,0,0.5104383710449392
2500,8.81,90000.0,18.09,25.4,19,8,1,0,0.6810625132924651
10000,16.91,65000.0,16.27,73.6,12,8,0,0,0.4569050423198498
4200,10.72,46000.0,16.51,3.1,35,7,0,0,0.7179200796845904
3500,15.02,42000.0,2.51,6.4,18,9,0,0,0.5905433028155204
8475,23.4,80000.0,32.3,19.3,45,14,1,0,0.6658330058534505
10000,12.98,45000.0,9.41,15.2,21,9,0,0,0.5354958913193584
24000,13.56,60000.0,23.42,57.0,20,20,0,0,0.09141331969264614
17000,16.91,65000.0,3.56,35.9,8,1,0,0,0.7510080349481048
25000,23.4,250000.0,10.47,45.1,21,7,0,0,0.820889574140432
10000,10.33,55000.0,15.25,34.0,13,6,1,0,0.6380288003869903
29600,11.8,98700.0,27.93,3.6,43,22,1,0,0.22880247287792535
16000,12.98,95000.0,33.6,38.5,36,16,0,0,0.30964140311589966
16000,6.67,90000.0,10.17,49.6,14,5,0,0,0.5763532087395775
6400,10.08,80000.0,14.45,96.7,11,5,0,0,0.5252960366443052
6000,6.11,60000.0,7.7,21.3,10,3,0,0,0.6782682175819784
9900,11.31,50000.0,28.8,70.2,43,10,2,0,0.6799568793473569
3000,10.72,42000.0,6.23,33.6,40,9,1,0,0.7338639715783861
20000,11.8,180000.0,8.34,13.6,37,30,0,0,0.09551938086811779
35000,14.47,62000.0,8.83,19.4,22,17,0,0,0.1782521440475354
4000,13.56,67000.0,11.84,14.1,17,12,0,0,0.4487805523026655
30000,17.97,147800.0,14.21,31.7,13,7,0,0,0.6113306862175457
20000,14.47,290000.0,15.02,87.7,34,19,0,0,0.41358095664939803
13000,13.56,65000.0,5.15,57.8,11,6,0,0,0.5448287705461907
18675,16.91,287000.0,25.15,94.8,34,14,0,0,0.6002402869828324
18000,16.14,170000.0,8.81,67.1,31,18,0,0,0.3311343067764296
30000,7.02,71000.0,15.82,16.3,29,14,0,0,0.27619452471155076
35000,6.67,118800.0,16.57,15.9,23,14,0,0,0.2764332926478088
15000,11.55,45000.0,24.03,35.4,20,9,0,0,0.4207534651661752
5000,14.47,35000.0,32.48,49.0,15,8,0,0,0.4404238950709313
23800,12.98,50000.0,24.72,23.5,31,10,0,0,0.44980577184751686
4800,14.47,58000.0,21.41,22.3,17,11,1,0,0.533386458706301
15000,16.91,25000.0,4.51,32.1,9,5,1,0,0.6594121913709177
15000,10.47,60000.0,16.36,32.9,36,23,0,0,0.11819268641498502
30000,22.35,52000.0,17.58,53.2,33,11,0,0,0.43553986115874765
8000,6.67,73000.0,19.3,20.4,17,10,0,0,0.43567337135287065
25000,10.33,90000.0,16.6,43.2,50,23,0,0,0.15300389771747352
30500,6.11,105000.0,35.42,20.7,32,23,0,0,0.08204667639287024
5000,10.72,37000.0,14.99,35.2,12,9,0,0,0.4196357854088343
30000,7.21,700000.0,15.74,78.8,46,25,0,0,0.754075172497808
10000,16.14,47000.0,14.3,60.0,30,12,1,0,0.5082170799877598
10000,23.4,84000.0,30.98,57.2,26,12,0,0,0.4634178337795121
23000,11.06,75000.0,18.9,52.8,13,7,0,0,0.4364901127591727
10000,16.14,33000.0,19.82,56.7,10,5,1,0,0.6209651375950943
40000,12.98,154000.0,31.82,87.8,35,17,0,0,0.19034995703499433
10000,7.21,75000.0,24.9,51.2,24,7,1,0,0.6281528940611331
12300,24.37,110000.0,25.31,18.6,49,13,0,0,0.6914308406358879
30000,16.91,90000.0,39.09,39.8,35,16,0,0,0.2518614505317699
40000,11.55,109000.0,21.0,62.1,36,14,0,0,0.27669697990517206
14000,8.81,148967.0,24.72,28.6,34,12,0,0,0.5480163282062036
11875,10.47,113000.0,15.87,45.1,34,8,0,0,0.6688176459467737
8000,10.33,35000.0,15.71,46.5,7,5,0,0,0.5047737705347586
20000,11.31,120000.0,21.65,85.8,19,8,0,0,0.46039694000846465
20000,12.98,106000.0,15.93,12.3,41,22,1,0,0.2826107134046388
10000,12.98,85000.0,24.64,65.4,28,15,1,0,0.3714105073005786
30950,26.31,42000.0,17.89,15.7,13,10,0,0,0.40925395298476086
10000,17.97,20000.0,15.39,52.3,8,6,2,0,0.6673801006865347
40000,13.56,170000.0,9.5,62.2,17,8,0,0,0.50805942414908
15000,12.98,60000.0,23.36,20.2,17,5,0,0,0.6220394012926833
6000,11.31,69000.0,13.23,0.0,40,6,2,0,0.8963301516750437
11000,8.81,55000.0,16.69,51.1,24,9,1,0,0.5468437825644412
40000,16.91,90000.0,10.87,21.9,16,7,1,0,0.6032321628980808
5000,6.46,78267.0,15.64,2.0,32,11,0,0,0.5631857595935231
10000,10.72,45000.0,29.95,12.7,26,13,1,0,0.43466233282889044
3000,17.97,86000.0,36.72,71.5,20,14,0,0,0.30649793023449357
25000,15.02,113000.0,11.24,60.6,16,9,1,0,0.5525612426405688
24000,20.89,180000.0,8.57,64.7,25,14,1,0,0.5643680944168167
18000,13.56,70000.0,17.54,63.5,10,6,0,0,0.4787635847760581
6000,8.81,230000.0,21.08,0.0,30,8,0,0,0.8354130747022926
12000,10.72,65000.0,14.31,85.8,24,18,0,0,0.14530758910191977
7500,7.21,38000.0,28.33,16.0,39,26,1,0,0.10584405071598506
6000,13.56,50000.0,3.41,16.4,11,8,0,0,0.5510106380375686
35000,14.47,65000.0,25.24,48.3,10,8,0,0,0.32343624448435204
4200,7.84,44752.0,37.06,7.5,51,34,2,0,0.06686869583763083
13825,20.89,120000.0,8.47,42.0,13,10,1,0,0.6396606383514781
4000,16.91,36000.0,11.77,39.8,5,5,0,0,0.5850333347855391
12000,7.84,75000.0,16.14,18.1,25,10,1,0,0.5875626804213687
8000,7.56,50000.0,17.28,11.6,16,10,0,0,0.4210430666741714
15000,18.94,25000.0,26.55,56.3,12,8,0,0,0.39167620431207784
8000,18.94,61000.0,7.79,21.5,6,6,0,0,0.6240911746865457
7100,25.34,75000.0,0.94,31.0,6,2,0,0,0.813508115743103
1200,7.02,30500.0,26.09,5.0,18,9,1,0,0.558042908051112
15000,15.02,60000.0,19.31,48.6,16,7,0,0,0.5131574580404868
10000,11.8,19200.0,16.86,30.1,10,6,0,0,0.4875288411415442
23000,8.19,153000.0,13.53,26.2,22,19,0,0,0.20613451922201173
35000,23.4,75240.0,2.17,10.2,11,5,0,0,0.650175445055505
10400,8.81,254000.0,9.4,9.5,31,20,2,0,0.6301816524192722
25000,10.47,60000.0,13.6,19.2,17,4,0,0,0.618450930727674
40000,8.19,125000.0,15.5,65.4,36,18,0,0,0.16896347413190102
12000,16.14,72000.0,32.15,89.1,16,12,0,0,0.26810774420999367
3300,7.02,84000.0,16.14,10.1,24,14,1,0,0.48285101561041377
25000,10.08,54000.0,30.02,51.4,25,14,0,0,0.20348459979078048
1500,18.94,18000.0,37.13,22.0,19,12,0,0,0.36940584394910614
32000,8.19,135000.0,15.64,87.7,35,13,0,0,0.32527425745816707
2000,14.47,42000.0,17.11,5.5,11,6,0,0,0.6298195340958572
5000,14.47,38400.0,28.75,72.0,10,7,0,0,0.42149639913708425
15000,10.47,20000.0,25.81,10.4,3,3,0,0,0.536818365343359
28000,11.06,125000.0,8.26,38.3,20,8,0,0,0.5467703023962057
3000,6.67,61000.0,17.51,5.7,36,12,0,0,0.5255985432849944
12350,16.91,43000.0,37.32,50.3,42,19,1,0,0.2712412274852271
1800,18.94,70000.0,22.85,33.1,33,14,2,0,0.6580720958970365
30000,12.98,0.0,,70.1,11,7,0,0,0.2766928176677692
10000,7.02,80000.0,16.86,14.8,14,8,0,0,0.5148480663521657
30000,11.8,60000.0,29.55,78.0,26,12,0,0,0.23199670586701887
35000,27.27,60000.0,45.58,72.4,25,12,0,0,0.2760973811858098
20000,6.11,64000.0,36.4,51.5,68,23,0,0,0.16197905809807805
35000,8.81,111000.0,25.84,72.8,42,20,0,0,0.13376721702211514
8000,7.56,75000.0,14.88,11.4,17,9,1,0,0.6039685492224656
